Process Name,Memory Usage,CPU Usage
System Idle Process,8192,0
System,2695168,0
Registry,7512064,0
fsnotifier.exe,540672,0
RtkAudUService64.exe,2093056,0
csrss.exe,2211840,0
smss.exe,258048,0
msedge.exe,11083776,0
sihost.exe,19423232,0
svchost.exe,13336576,0
svchost.exe,3497984,0
svchost.exe,4763648,0
wininit.exe,856064,0
csrss.exe,2732032,0
Notepad.exe,8634368,0
services.exe,6844416,0
winlogon.exe,5042176,0
lsass.exe,17043456,0
svchost.exe,38731776,0
svchost.exe,2228224,0
WUDFHost.exe,3158016,0
fontdrvhost.exe,348160,0
fontdrvhost.exe,7249920,0
svchost.exe,17485824,0
msedge.exe,3321856,0
svchost.exe,18235392,0
svchost.exe,1601536,0
svchost.exe,3670016,0
WUDFHost.exe,1204224,0
WUDFHost.exe,1937408,0
svchost.exe,2445312,0
svchost.exe,3280896,0
svchost.exe,4947968,0
svchost.exe,7839744,0
svchost.exe,10985472,0
AggregatorHost.exe,3825664,0
svchost.exe,13881344,0
msedge.exe,15941632,0
svchost.exe,6062080,0
svchost.exe,5107712,0
dllhost.exe,8261632,0
svchost.exe,3756032,0
svchost.exe,4382720,0
svchost.exe,1822720,0
svchost.exe,3067904,0
svchost.exe,4546560,0
svchost.exe,2670592,0
svchost.exe,6295552,0
svchost.exe,2387968,0
svchost.exe,1703936,0
svchost.exe,8658944,0
dwm.exe,71585792,0
svchost.exe,1294336,0
svchost.exe,3903488,0
svchost.exe,4993024,0
atiesrxx.exe,1126400,0
svchost.exe,9699328,0
backgroundTaskHost.exe,1032192,0
svchost.exe,2613248,0
svchost.exe,2867200,0
svchost.exe,6483968,0
svchost.exe,6877184,0
svchost.exe,19492864,0
svchost.exe,2572288,0
WUDFHost.exe,6103040,0
taskhostw.exe,10883072,0
taskhostw.exe,10223616,0
svchost.exe,1347584,0
ISM.exe,2646016,0
svchost.exe,3473408,0
msedge.exe,20799488,0
dasHost.exe,684032,0
svchost.exe,2883584,0
RuntimeBroker.exe,6737920,0
MemCompression,355115008,0
svchost.exe,4612096,0
RuntimeBroker.exe,12484608,0
svchost.exe,4038656,0
svchost.exe,3022848,0
QcomWlanSrvx64.exe,1368064,0
sw2_tray.exe,1249280,0
svchost.exe,7000064,0
svchost.exe,3571712,0
svchost.exe,2891776,0
svchost.exe,13316096,0
svchost.exe,6307840,0
spoolsv.exe,7852032,0
svchost.exe,4067328,0
svchost.exe,8900608,0
svchost.exe,2514944,0
SearchIndexer.exe,17088512,0
svchost.exe,10678272,0
AdminService.exe,2908160,0
ijplmsvc.exe,1830912,0
svchost.exe,23187456,0
svchost.exe,4907008,0
HPPrintScanDoctorService.exe,1146880,0
AnyDesk.exe,4898816,0
mysqld.exe,954368,0
svchost.exe,3698688,0
svchost.exe,10010624,0
logioptionsplus_updater.exe,7110656,0
svchost.exe,1253376,0
RtkAudUService64.exe,3080192,0
OfficeClickToRun.exe,17436672,0
svchost.exe,2744320,0
msedge.exe,11943936,0
SurfaceService.exe,6291456,0
svchost.exe,536576,0
svchost.exe,14327808,0
svchost.exe,13168640,0
svchost.exe,11968512,0
MsMpEng.exe,114069504,0
WsAppService.exe,7405568,0
WsAppService3.exe,4612096,0
svchost.exe,4743168,0
Video.UI.exe,126976,0
svchost.exe,4751360,0
SurfaceBroker.exe,1978368,0
mysqld.exe,2871296,0
conhost.exe,692224,0
msedge.exe,28155904,0
svchost.exe,10317824,0
explorer.exe,128860160,0
svchost.exe,1875968,0
svchost.exe,7086080,0
MpDefenderCoreService.exe,11202560,0
svchost.exe,8790016,0
SurfaceBroker.exe,6066176,0
svchost.exe,3387392,0
svchost.exe,1110016,0
dllhost.exe,1355776,0
svchost.exe,9711616,0
ONENOTEM.EXE,2142208,0
msedge.exe,6692864,0
svchost.exe,3440640,0
NisSrv.exe,3768320,0
msedge.exe,140099584,0
msedge.exe,8597504,0
RuntimeBroker.exe,7356416,0
svchost.exe,6098944,0
Microsoft.SharePoint.exe,487424,0
RuntimeBroker.exe,9613312,0
svchost.exe,3756032,0
Eap3Host.exe,4653056,0
msedge.exe,166916096,0
ApplicationFrameHost.exe,14209024,0
msedgewebview2.exe,14405632,0
svchost.exe,1634304,0
svchost.exe,4227072,0
SecurityHealthService.exe,11694080,0
UserOOBEBroker.exe,4481024,0
svchost.exe,16310272,0
SearchHost.exe,10670080,0
StartMenuExperienceHost.exe,16171008,0
msedgewebview2.exe,1474560,0
RuntimeBroker.exe,6148096,0
Widgets.exe,4997120,0
RuntimeBroker.exe,14434304,0
svchost.exe,11661312,0
msedge.exe,8650752,0
RuntimeBroker.exe,17784832,0
svchost.exe,1843200,0
ctfmon.exe,25481216,0
TabTip.exe,15314944,0
svchost.exe,7086080,0
python.exe,3526656,0
WidgetService.exe,3100672,0
svchost.exe,15323136,0
TextInputHost.exe,108134400,0
Taskmgr.exe,65019904,0
ShellExperienceHost.exe,14893056,0
svchost.exe,5537792,0
svchost.exe,6189056,0
SearchProtocolHost.exe,8646656,0
unsecapp.exe,8757248,0
svchost.exe,5029888,0
svchost.exe,7012352,0
svchost.exe,962560,0
svchost.exe,8019968,0
msedge.exe,155230208,0
svchost.exe,11030528,0
msedge.exe,18395136,0
SecurityHealthSystray.exe,3649536,0
svchost.exe,3215360,0
LocationNotificationWindows.exe,184320,0
powershell.exe,5660672,0
PaintStudio.View.exe,315392,0
dllhost.exe,5365760,0
WhatsApp.exe,29806592,0
XboxGameBarWidgets.exe,110592,0
msedgewebview2.exe,4427776,0
msedgewebview2.exe,3956736,0
RuntimeBroker.exe,2629632,0
RuntimeBroker.exe,13864960,0
svchost.exe,3657728,0
svchost.exe,10334208,0
msedge.exe,12550144,0
SDXHelper.exe,1675264,0
conhost.exe,778240,0
msedge.exe,5058560,0
WUDFHost.exe,3055616,0
RuntimeBroker.exe,5881856,0
pycharm64.exe,2026676224,0
audiodg.exe,7725056,0
SystemSettingsBroker.exe,13930496,0
msedge.exe,175394816,0
LockApp.exe,16654336,0
WmiPrvSE.exe,17215488,0
msedge.exe,14524416,0
msedge.exe,4464640,0
msedgewebview2.exe,7651328,0
EXCEL.EXE,29691904,0
msedge.exe,8658944,0
msedge.exe,49094656,0
msedge.exe,35446784,0
msedge.exe,60694528,0
conhost.exe,1015808,0
msedge.exe,16510976,0
svchost.exe,4562944,0
splwow64.exe,4575232,0
msedgewebview2.exe,23355392,0
msedge.exe,5124096,0
logioptionsplus_appbroker.exe,6676480,0
LogiAiPromptBuilder.exe,20078592,0
backgroundTaskHost.exe,958464,0
msedge.exe,54312960,0
python.exe,15179776,0
msedge.exe,10108928,0
msedge.exe,46608384,0
RuntimeBroker.exe,2088960,0
StoreExperienceHost.exe,126976,0
backgroundTaskHost.exe,126976,0
conhost.exe,10481664,0
logioptionsplus_agent.exe,35921920,0
System Idle Process,8192,0
System,19943424,0
,41971712,0
Registry,35344384,0
smss.exe,237568,0
csrss.exe,2662400,0
wininit.exe,950272,0
csrss.exe,4206592,0
services.exe,7827456,0
LsaIso.exe,1830912,0
